list,category,id,name,brand,price,dimension10,metric5,position
Bacanie & Lichide,Bacanie & Lichide,10505039,"Vin rose demisec, Nostalgia Merlot, 0.75L",Crama Viisoara,16.9,available,0,543
Bacanie & Lichide,Bacanie & Lichide,10505275,"Vin rose sec, Panciu fara Sulfiti,  0.75L",Casa Panciu,23.9,available,0,544
Bacanie & Lichide,Bacanie & Lichide,10505276,"Vin rosu sec, Panciu fara Sulfiti Cabernet Sauvignon, 0.75L",Casa Panciu,23.9,available,0,545
Bacanie & Lichide,Bacanie & Lichide,10505122,"Vin alb sec, Strunga Muscat Ottonel, 0.75L",Strunga,27.9,available,0,546
Bacanie & Lichide,Bacanie & Lichide,10505031,"Vin alb sec Chardonnay Virtuoz Gramofon W, sec, 0.75 L",Gramofon,19.9,available,0,547
Bacanie & Lichide,Bacanie & Lichide,10505032,"Vin rose Virtuoz Gramofon W, demisec, 0.75 L",Gramofon,19.9,available,0,548
Bacanie & Lichide,Bacanie & Lichide,10505120,"Vin alb sec Chardonnay Strunga, sec, 0.75 L",Licorna,27.9,available,0,549
Bacanie & Lichide,Bacanie & Lichide,10505121,"Vin rose sec Busuioaca de Bohotin Strunga , sec, 0.75 L",Strunga,27.9,available,0,550
Bacanie & Lichide,Bacanie & Lichide,12002373,"Vin alb spumant, Asti Cinzano. 0.75L",Cinzano,53.9,available,0,551
Bacanie & Lichide,Bacanie & Lichide,10504149,"Vin alb dulce Conacul Ambrozy, Cramele Recas, 375ml",Recas,40.9,available,0,552
Bacanie & Lichide,Bacanie & Lichide,10002588,"Vin spumant alb, demisec, Silvania Premium, 0.75L",Podgoria Silvania,28.9,available,0,553
Bacanie & Lichide,Bacanie & Lichide,10503483,"Vin rose sec, Vinohora, 0.75L",Purcari,42.9,available,0,554
Bacanie & Lichide,Bacanie & Lichide,10504168,"Vin rosu sec, Alira Cuvee, 2014, 0.75L",Alira,37.9,available,0,555
Bacanie & Lichide,Bacanie & Lichide,10506322,"Vin rosu sec, Avincis Negru de Dragasani, 0.75L",Avincis,70.9,available,0,556
Bacanie & Lichide,Bacanie & Lichide,10506323,"Vin alb sec, Avincis Cramposie Selectionata, 075L",Avincis,37.9,available,0,557
Bacanie & Lichide,Bacanie & Lichide,10500652,"Vin alb Domeniile Tohani, Mosia de la Tohani, Sauvignon Blanc, sec 0.75l",Domeniile Tohani,21.9,available,0,558
Bacanie & Lichide,Bacanie & Lichide,10500843,"Vin rose Jidvei Nec Plus Ultra, Demisec, 0.75l",Jidvei,23.9,available,0,559
Bacanie & Lichide,Bacanie & Lichide,12006398,Vin spumant Martini Sparking Rose Demisec 0.75l,Martini,41.9,available,0,560
Bacanie & Lichide,Bacanie & Lichide,10506761,Frizzante Maschio Pinot Rosa 0.75L,Maschio,17.9,available,0,561
Bacanie & Lichide,Bacanie & Lichide,10505519,"Vin spumant Cotnari Zaz Alb Demisec, 0.75l",Cramele Cotnari,27.9,available,0,562
Bacanie & Lichide,Bacanie & Lichide,10505787,"Vin spumant Alb Alira Flamma Charme, 0.75l",Alira,23.9,available,0,563
Bacanie & Lichide,Bacanie & Lichide,10506976,"Vin spumant Rose Mary Rose, 0.75L",Rose Mary,37.9,available,0,564
Bacanie & Lichide,Bacanie & Lichide,10506480,Vin Frizzante Niscov Rose 0.75L,Niscov,14.9,available,0,565
Bacanie & Lichide,Bacanie & Lichide,10506481,Vin Frizzante Niscov alb demisec 0.75 L,Niscov,14.9,available,0,566
Bacanie & Lichide,Bacanie & Lichide,10506842,Vin rosu Davino Faurar de Ceptura 0.75l,Davino,28.9,available,0,567
Bacanie & Lichide,Bacanie & Lichide,10506543,"Vin rose Silvania Pinot Noir, 0.75l",Podgoria Silvania,20.9,available,0,568
Bacanie & Lichide,Bacanie & Lichide,12004630,"Vin alb demisec Domeniile Tohani, Sauvignon Blanc 0.75L",Domeniile Tohani,12.9,available,0,569
Bacanie & Lichide,Bacanie & Lichide,12004627,"Vin rosu Domeniile Tohani, Feteasca Neagra, Demisec, 0.75l",Domeniile Tohani,12.9,available,0,570
Bacanie & Lichide,Bacanie & Lichide,12004628,"Vin rosu, Domeniile Tohani Dealu Mare, Cabernet Sauvignon, sec 0.75L",Domeniile Tohani,12.9,available,0,571
Bacanie & Lichide,Bacanie & Lichide,10502008,"Vin Busuioaca De Bohotin Demisec, Tohani, 0.75L",Domeniile Tohani,12.9,available,0,572
Bacanie & Lichide,Bacanie & Lichide,10000209,"Vin rose Beciul Domnesc, demisec, 0.75L",Beciul Domnesc,19.5,available,0,573
Bacanie & Lichide,Bacanie & Lichide,10503530,"Vin rose Verite Cabernet Sauvignon, Demisec, 0.75l",Vincon,27.9,available,0,574
Bacanie & Lichide,Bacanie & Lichide,10502735,"Vin alb, Beciul Domnesc Chardonnay, sec, 0.75L",Beciul Domnesc,19.5,available,0,575
Bacanie & Lichide,Bacanie & Lichide,10503529,"Vin Alb Beciul Domnesc Feteasca Regala, Demisec, 0.75L",Beciul Domnesc,19.5,available,0,576
Bacanie & Lichide,Bacanie & Lichide,12003829,"Vin Alb Beciul Domnesc Riesling de Rhin, Demisec, 0.75L",Beciul Domnesc,19.5,available,0,577
