available,manufacturerName,manufacturerSubBrandName,code,badges,images,name,productPackagingQuantity,productProposedPackaging2,url,formattedValue,discountedPriceFormatted,feeValue,potentialPromotion,potentialPromotionEndDate,quantity
True,Skol,,43732,[],"['https://static.mega-image.ro/medias/sys_master/h64/h9b/9282328952862.jpg', 'https://static.mega-image.ro/medias/sys_master/h3a/he6/9282328887326.jpg', 'https://static.mega-image.ro/medias/sys_master/he8/h62/9282329215006.jpg', 'https://static.mega-image.ro/medias/sys_master/he3/hd2/9282328821790.jpg', 'https://static.mega-image.ro/medias/sys_master/he8/h62/9282329215006.jpg', 'https://static.mega-image.ro/medias/sys_master/h2f/had/9282329411614.jpg']",Bere blonda ,1.0,,/Bauturi/Bere-si-Cidru/Bere-blonda/Bere-blonda-2-25L/p/43732,11.09,8.98,0.5,-19%,15/05/2024 20:59:00,2.25l
True,Silk&Spice,,62945,[],"['https://static.mega-image.ro/medias/sys_master/hdb/hae/9290849812510.jpg', 'https://static.mega-image.ro/medias/sys_master/had/h22/9290849746974.jpg', 'https://static.mega-image.ro/medias/sys_master/h7a/hae/9290850074654.jpg', 'https://static.mega-image.ro/medias/sys_master/he3/h69/9290849681438.jpg', 'https://static.mega-image.ro/medias/sys_master/h7a/hae/9290850074654.jpg', 'https://static.mega-image.ro/medias/sys_master/h58/h6c/9290850271262.jpg']",Vin rosu Red Blend ,1.0,,/Bauturi/Vinuri/Vin-rosu/Vin-rosu-Red-Blend-0-75L/p/62945,45.99,36.79,0.5,-20%,05/06/2024 20:59:00,0.75l
True,Silk&Spice,,62928,[],"['https://static.mega-image.ro/medias/sys_master/h25/hdb/9290836639774.jpg', 'https://static.mega-image.ro/medias/sys_master/h49/h98/9290836574238.jpg', 'https://static.mega-image.ro/medias/sys_master/h3f/ha3/9290836901918.jpg', 'https://static.mega-image.ro/medias/sys_master/h19/h91/9290836508702.jpg', 'https://static.mega-image.ro/medias/sys_master/h3f/ha3/9290836901918.jpg', 'https://static.mega-image.ro/medias/sys_master/h80/h2f/9290837098526.jpg']",Vin alb sec White Blend ,1.0,,/Bauturi/Vinuri/Vin-alb/Vin-alb-sec-White-Blend-0-75L/p/62928,45.99,36.79,0.5,-20%,05/06/2024 20:59:00,0.75l
True,Hell,Energy,58419,[],"['https://static.mega-image.ro/medias/sys_master/h5b/haa/9284077125662.jpg', 'https://static.mega-image.ro/medias/sys_master/hcb/h1d/9284077060126.jpg', 'https://static.mega-image.ro/medias/sys_master/h13/h79/9284077387806.jpg', 'https://static.mega-image.ro/medias/sys_master/ha5/h5c/9284076994590.jpg', 'https://static.mega-image.ro/medias/sys_master/h13/h79/9284077387806.jpg', 'https://static.mega-image.ro/medias/sys_master/hf1/h36/9284077584414.jpg']",Bautura energizanta fara zahar ,1.0,,/Apa-si-sucuri/Energizante-/Energizant/Bautura-energizanta-fara-zahar-250ml/p/58419,3.59,3.59,0.5,-30% la al 2-lea,15/05/2024 20:59:00,250ml
True,(bucata),,64317,[],"['https://static.mega-image.ro/medias/sys_master/h89/hbe/9289493676062.jpg', 'https://static.mega-image.ro/medias/sys_master/h8e/hf0/9289493610526.jpg', 'https://static.mega-image.ro/medias/sys_master/h32/h35/9289493938206.jpg', 'https://static.mega-image.ro/medias/sys_master/hf3/h80/9289493544990.jpg', 'https://static.mega-image.ro/medias/sys_master/h32/h35/9289493938206.jpg', 'https://static.mega-image.ro/medias/sys_master/ha8/ha6/9289494134814.jpg']","Lumanare parfumata, diverse arome, 5x10cm",1.0,,/Produse-sezoniere/Paste/Decoratiuni/Lumanare-parfumata-diverse-arome-5x10cm/p/64317,6.99,5.59,,-20%,15/05/2024 20:59:00,nan
True,French Bull,,63259,[],"['https://static.mega-image.ro/medias/sys_master/h55/h10/9287147651102.jpg', 'https://static.mega-image.ro/medias/sys_master/hd7/h7b/9287147585566.jpg', 'https://static.mega-image.ro/medias/sys_master/h58/he1/9287147913246.jpg', 'https://static.mega-image.ro/medias/sys_master/h0d/ha2/9287147520030.jpg', 'https://static.mega-image.ro/medias/sys_master/h58/he1/9287147913246.jpg', 'https://static.mega-image.ro/medias/sys_master/h24/hc8/9287148109854.jpg']","Geanta de voiaj cu roti, Albastru deschis, 43.5x25x67cm",1.0,,/Produse-sezoniere/Campanii/French-Bull/Geanta-de-voiaj-cu-roti-Albastru-deschis-43-5x25x67cm/p/63259,390.0,195.0,,CONNECT -50%,28/08/2024 20:59:00,nan
True,French Bull,,63258,[],"['https://static.mega-image.ro/medias/sys_master/hdf/h25/9287143653406.jpg', 'https://static.mega-image.ro/medias/sys_master/h5d/hb4/9287143587870.jpg', 'https://static.mega-image.ro/medias/sys_master/hd2/ha8/9287143915550.jpg', 'https://static.mega-image.ro/medias/sys_master/hd8/h6b/9287143522334.jpg', 'https://static.mega-image.ro/medias/sys_master/hd2/ha8/9287143915550.jpg', 'https://static.mega-image.ro/medias/sys_master/h38/hd9/9287144112158.jpg']","Geanta de voiaj cu roti, Petrol, 43.5x25x67cm",1.0,,/Produse-sezoniere/Campanii/French-Bull/Geanta-de-voiaj-cu-roti-Petrol-43-5x25x67cm/p/63258,390.0,195.0,,CONNECT -50%,28/08/2024 20:59:00,nan
True,French Bull,,63249,[],"['https://static.mega-image.ro/medias/sys_master/he1/he7/9287124123678.jpg', 'https://static.mega-image.ro/medias/sys_master/h0d/h9c/9287124058142.jpg', 'https://static.mega-image.ro/medias/sys_master/hdd/h3d/9287124385822.jpg', 'https://static.mega-image.ro/medias/sys_master/hcb/h66/9287123992606.jpg', 'https://static.mega-image.ro/medias/sys_master/hdd/h3d/9287124385822.jpg', 'https://static.mega-image.ro/medias/sys_master/h44/h04/9287124582430.jpg']","Geanta de voiaj cu roti, Petrol, 34x23.5x56cm",1.0,,/Produse-sezoniere/Campanii/French-Bull/Geanta-de-voiaj-cu-roti-Petrol-34x23-5x56cm/p/63249,360.0,180.0,,CONNECT -50%,28/08/2024 20:59:00,nan
True,French Bull,,63248,[],"['https://static.mega-image.ro/medias/sys_master/h69/h78/9287121567774.jpg', 'https://static.mega-image.ro/medias/sys_master/h74/ha4/9287108395038.jpg', 'https://static.mega-image.ro/medias/sys_master/h3f/hfe/9287121829918.jpg', 'https://static.mega-image.ro/medias/sys_master/h28/h32/9287108329502.jpg', 'https://static.mega-image.ro/medias/sys_master/h3f/hfe/9287121829918.jpg', 'https://static.mega-image.ro/medias/sys_master/h2a/hd0/9287122026526.jpg']","Geanta de voiaj cu roti, Sampanie, 34x23.5x56cm",1.0,,/Produse-sezoniere/Campanii/French-Bull/Geanta-de-voiaj-cu-roti-Sampanie-34x23-5x56cm/p/63248,360.0,180.0,,CONNECT -50%,28/08/2024 20:59:00,nan
True,French Bull,,63254,[],"['https://static.mega-image.ro/medias/sys_master/hc5/h61/9287137165342.jpg', 'https://static.mega-image.ro/medias/sys_master/h13/h72/9287137099806.jpg', 'https://static.mega-image.ro/medias/sys_master/h38/hcd/9287137427486.jpg', 'https://static.mega-image.ro/medias/sys_master/h7d/hf3/9287137034270.jpg', 'https://static.mega-image.ro/medias/sys_master/h38/hcd/9287137427486.jpg', 'https://static.mega-image.ro/medias/sys_master/h16/h8b/9287137624094.jpg']","Geanta de voiaj cu roti, Turcoaz, 43.5x25x67cm",1.0,,/Produse-sezoniere/Campanii/French-Bull/Geanta-de-voiaj-cu-roti-Turcoaz-43-5x25x67cm/p/63254,390.0,195.0,,CONNECT -50%,28/08/2024 20:59:00,nan
